idcliente,plan_internacional_preferente,plan_internet_ilimitado,mb_navegados,total_minutos_horario_normal,total_llamadas_horario_normal,cobro_llamadas_horario_normal,total_minutos_horario_reducido,total_llamadas_horario_reducido,cobro_llamadas_horario_reducido,total_minutos_horario_nocturno,total_llamadas_horario_nocturno,cobro_llamadas_horario_nocturno,total_minutos_llamadas_internacionales,total_llamadas_internacionales,cobro_llamadas_internacionales,llamadas_a_servicio_de_atencion_al_cliente,fuga
1,No,Si,2500,265.1,110,24834,197.4,99,9246,244.7,91,6067,10,3,1488,1,Vigente
2,No,Si,2600,161.6,123,15136,195.5,103,9158,254.4,103,6309,13.7,3,2039,1,Vigente
3,No,No,0,243.4,114,22800,121.2,110,5675,162.6,104,4033,12.2,5,1813,0,Vigente
4,Si,No,0,299.4,71,28046,61.9,88,2898,196.9,89,4882,6.6,7,818,2,Vigente
5,Si,No,0,166.7,113,15615,148.3,122,6948,186.9,121,4634,10.1,3,1252,3,Vigente
6,Si,No,0,223.4,98,20927,220.6,101,10331,203.9,118,5058,6.3,6,781,0,Vigente
7,No,Si,2400,218.2,88,20437,348.5,108,16321,212.6,118,5273,7.5,7,1119,3,Vigente
8,Si,No,0,157,79,14706,103.1,94,4827,211.8,96,5251,7.1,6,880,0,Vigente
9,No,No,0,184.5,97,17285,351.6,80,16469,215.8,90,5350,8.7,4,1295,1,Vigente
10,Si,Si,3700,258.6,84,24222,222,111,10397,326.4,97,8094,11.2,5,1389,0,Vigente
11,No,No,0,129.1,137,12094,228.5,83,10700,208.8,111,5179,12.7,6,1890,4,Fugado
12,No,No,0,187.7,127,17582,163.4,148,7653,196,94,4860,9.1,5,1355,0,Vigente
13,No,No,0,128.8,96,12067,104.9,71,4915,141.1,128,3499,11.2,2,1664,1,Vigente
14,No,No,0,156.6,88,14668,247.6,75,11599,192.3,115,4766,12.3,5,1829,3,Vigente
15,No,No,0,120.7,70,11307,307.2,76,14387,203,99,5036,13.1,6,1951,4,Vigente
16,No,No,0,332.9,67,31181,317.8,97,14883,160.6,128,3984,5.4,9,804,4,Fugado
17,No,Si,2700,196.4,139,18398,280.9,90,13158,89.3,75,2215,13.8,4,2055,1,Vigente
18,No,No,0,190.7,114,17863,218.2,111,10221,129.6,121,3212,8.1,3,1207,3,Vigente
19,No,Si,3300,189.7,66,17770,212.8,65,9968,165.7,108,4110,10,5,1488,1,Vigente
20,No,No,0,224.4,90,21021,159.5,88,7472,192.8,74,4783,13,2,1934,1,Vigente
21,No,No,0,155.1,117,14530,239.7,93,11224,208.8,133,5179,10.6,4,1576,0,Vigente
22,No,No,0,62.4,89,5846,169.9,121,7956,209.6,64,5196,5.7,6,849,5,Fugado
23,No,No,0,183,112,17142,72.9,99,3416,181.8,78,4507,9.5,19,1416,0,Vigente
24,No,No,0,110.4,103,10342,137.3,102,6430,189.6,105,4700,7.7,6,1146,2,Vigente
25,No,No,0,81.1,86,7598,245.2,72,11483,237,115,5879,10.3,2,1532,0,Vigente
26,No,No,0,124.3,76,11643,277.1,112,12976,250.7,115,6215,15.5,5,2309,3,Vigente
27,No,Si,3900,213,115,19952,191.1,112,8948,182.7,115,4529,9.5,3,1416,0,Vigente
28,No,No,0,134.3,73,12579,155.5,100,7284,102.1,68,2529,14.7,4,2187,3,Vigente
29,No,No,0,190,109,17797,258.2,84,12094,181.5,102,4502,6.3,6,937,0,Vigente
30,No,No,0,119.3,117,11174,215.1,109,10072,178.7,90,4430,11.1,1,1653,1,Vigente
31,No,No,0,84.8,95,7945,136.7,63,6403,250.5,148,6210,14.2,6,2110,2,Vigente
32,No,No,0,226.1,105,21180,201.5,107,9439,246.2,98,6105,10.3,5,1532,1,Vigente
33,No,No,0,212,121,19858,31.2,115,1460,293.3,78,7273,12.6,10,1873,3,Vigente
34,No,No,0,249.6,118,23379,252.4,119,11819,280.2,90,6948,11.8,3,1758,1,Fugado
35,No,Si,2500,176.8,94,16563,195,75,9136,213.5,116,5295,8.3,4,1234,0,Vigente
36,No,Si,3700,220,80,20607,217.3,102,10177,152.8,71,3791,14.7,6,2187,3,Vigente
37,No,Si,3000,146.3,128,13703,162.5,80,7609,129.3,109,3207,14.5,6,2160,0,Vigente
38,No,No,0,130.8,64,12254,223.7,116,10475,227.8,108,5648,10,5,1488,1,Vigente
39,Si,Si,3300,203.9,106,19098,187.6,99,8788,101.7,107,2524,10.5,6,1302,3,Vigente
40,No,No,0,140.4,94,13152,271.8,92,12728,188.3,108,4667,11.1,9,1653,1,Vigente
41,No,No,0,126.3,102,11830,166.8,85,7813,187.8,135,4656,9.4,2,1400,3,Vigente
42,Si,Si,4100,173.1,85,16216,203.9,107,9549,122.2,78,3031,14.6,15,1810,0,Fugado
43,No,No,0,124.8,82,11692,282.2,98,13218,311.5,78,7725,10,4,1488,2,Vigente
44,No,No,0,85.8,77,8039,165.3,110,7742,178.5,92,4425,9.2,4,1366,3,Vigente
45,No,No,0,154,67,14425,225.8,118,10574,265.3,86,6579,3.5,3,523,1,Vigente
46,No,Si,2800,120.9,97,11323,213,92,9979,163.1,116,4044,8.5,5,1267,2,Vigente
47,No,No,0,211.3,120,19792,162.6,122,7615,134.7,118,3339,13.2,5,1962,3,Vigente
48,No,No,0,187,133,17516,134.6,74,6303,242.2,127,6006,7.4,5,1102,2,Vigente
49,No,No,0,159.1,114,14905,231.3,117,10833,143.2,91,3548,8.8,3,1311,5,Fugado
50,No,Si,2400,133.2,135,12475,217.2,58,10171,70.6,79,1752,11,3,1636,1,Vigente
51,No,No,0,191.9,108,17974,269.8,96,12634,236.8,87,5874,7.8,5,1163,3,Vigente
52,No,No,0,220.6,57,20663,211.1,115,9885,249,129,6177,6.8,3,1014,1,Vigente
53,No,No,0,186.1,112,17434,190.2,66,8910,282.8,57,7014,11.4,6,1697,2,Vigente
54,No,No,0,160.2,117,15004,267.5,67,12530,228.5,68,5664,9.3,5,1383,2,Vigente
55,No,No,0,151,83,14144,219.7,116,10287,203.9,127,5058,9.7,3,1444,5,Fugado
56,No,No,0,175.5,67,16442,249.3,85,11676,270.2,98,6700,10.2,3,1515,1,Vigente
57,No,No,0,126.9,98,11885,180,62,8430,140.8,128,3493,8,2,1190,1,Vigente
58,No,Si,3000,198.4,129,18585,75.3,77,3526,181.2,77,4491,5.8,3,865,3,Fugado
59,No,No,0,148.8,70,13940,246.5,164,11543,129.8,103,3218,12.1,3,1802,3,Vigente
60,No,No,0,229.3,103,21478,177.4,126,8309,189.3,95,4695,12,8,1785,1,Vigente
61,No,No,0,192.1,97,17996,169.9,94,7956,166.6,54,4133,11.4,4,1697,1,Vigente
62,No,Si,3400,268.6,83,25159,178.2,142,8348,166.3,106,4121,11.6,3,1725,2,Vigente
63,No,Si,3300,193.7,91,18144,246.1,96,11527,138,92,3422,14.6,3,2171,2,Vigente
64,No,Si,2800,180.7,92,16927,187.8,64,8794,265.5,53,6584,12.6,3,1873,3,Vigente
65,No,No,0,131.2,98,12287,162.9,97,7631,159,106,3940,8.2,6,1218,2,Vigente
66,No,Si,4100,148.1,74,13874,169.5,88,7940,214.1,102,5306,6.2,5,920,2,Vigente
67,Si,No,0,251.5,105,23561,212.8,104,9968,157.8,67,3912,9.3,4,1153,0,Vigente
68,Si,No,0,125.2,93,11725,206.4,119,9665,129.3,139,3207,8.3,8,1029,0,Vigente
69,No,No,0,211.6,70,19819,216.9,80,10160,153.5,60,3807,7.8,1,1163,1,Vigente
70,No,No,0,178.9,101,16756,169.1,110,7918,148.6,100,3686,13.8,3,2055,4,Fugado
71,No,No,0,241.8,93,22652,170.5,83,7984,295.3,104,7323,11.8,7,1758,3,Vigente
72,No,Si,4600,224.9,97,21065,188.2,84,8816,254.6,61,6314,12.1,2,1802,0,Vigente
