Fecha;UF
01-01-2005;17311.91
01-02-2005;17253.10
01-03-2005;17208.61
01-04-2005;17220.89
01-05-2005;17333.84
01-06-2005;17460.00
01-07-2005;17521.36
01-08-2005;17600.09
01-09-2005;17689.96
01-10-2005;17778.00
01-11-2005;17926.88
01-12-2005;17987.42
01-01-2006;17951.52
01-02-2006;17917.05
01-03-2006;17922.93
01-04-2006;17938.69
01-05-2006;18042.17
01-06-2006;18131.13
01-07-2006;18189.52
01-08-2006;18291.18
01-09-2006;18373.19
01-10-2006;18415.56
01-11-2006;18403.51
01-12-2006;18354.91
01-01-2007;18331.93
01-02-2007;18356.63
01-03-2007;18387.11
01-04-2007;18382.55
01-05-2007;18461.97
01-06-2007;18570.58
01-07-2007;18697.42
01-08-2007;18873.60
01-09-2007;19078.16
01-10-2007;19289.42
01-11-2007;19460.39
01-12-2007;19550.76
01-01-2008;19688.10
01-02-2008;19762.50
01-03-2008;19787.24
01-04-2008;19883.12
01-05-2008;20019.16
01-06-2008;20142.86
01-07-2008;20395.89
01-08-2008;20678.27
01-09-2008;20896.36
01-10-2008;21098.31
01-11-2008;21316.35
01-12-2008;21454.72
01-01-2009;21379.18
01-02-2009;21158.43
01-03-2009;21004.32
01-04-2009;20960.11
01-05-2009;21004.81
01-06-2009;20962.55
01-07-2009;20933.10
01-08-2009;20952.43
01-09-2009;20874.76
01-10-2009;20867.29
01-11-2009;21009.42
01-12-2009;20989.81
01-01-2010;20899.82
01-02-2010;20877.51
01-03-2010;20966.13
01-04-2010;21019.75
01-05-2010;21064.65
01-06-2010;21160.60
01-07-2010;21224.29
01-08-2010;21261.05
01-09-2010;21344.51
01-10-2010;21356.86
01-11-2010;21421.11
01-12-2010;21445.15
01-01-2011;21466.63
01-02-2011;21497.96
01-03-2011;21556.35
01-04-2011;21633.36
01-05-2011;21773.99
01-06-2011;21848.67
01-07-2011;21924.28
01-08-2011;21964.10
01-09-2011;21992.35
01-10-2011;22053.13
01-11-2011;22160.11
01-12-2011;22259.95
01-01-2012;22346.12
01-02-2012;22447.54
01-03-2012;22492.50
01-04-2012;22567.73
01-05-2012;22608.96
01-06-2012;22626.49
01-07-2012;22609.47
01-08-2012;22562.02
01-09-2012;22571.05
01-10-2012;22650.36
01-11-2012;22813.45
01-12-2012;22886.63
01-01-2013;22811.83
01-02-2013;22818.59
01-03-2013;22857.28
01-04-2013;22898.59
01-05-2013;22933.69
01-06-2013;22857.11
01-07-2013;22888.71
01-08-2013;23002.78
01-09-2013;23067.92
01-10-2013;23133.47
01-11-2013;23221.88
01-12-2013;23267.17
01-01-2014;23369.91
01-02-2014;23482.16
01-03-2014;23552.54
01-04-2014;23685.06
01-05-2014;23860.55
01-06-2014;23986.19
01-07-2014;24048.75
01-08-2014;24081.02
01-09-2014;24134.09
01-10-2014;24237.79
01-11-2014;24438.18
01-12-2014;24617.62
01-01-2015;24601.14
01-02-2015;24538.61
01-03-2015;24577.93
01-04-2015;24685.43
01-05-2015;24832.61
01-06-2015;24955.07
01-07-2015;25028.87
01-08-2015;25144.67
01-09-2015;25264.76
01-10-2015;25426.52
01-11-2015;25548.23
01-12-2015;25625.13
01-01-2016;25629.09
01-02-2016;25661.05
01-03-2016;25772.43
01-04-2016;25858.01
01-05-2016;25954.31
01-06-2016;26025.99
01-07-2016;26093.10
01-08-2016;26181.82
01-09-2016;26222.27
01-10-2016;26238.10
01-11-2016;26288.20
01-12-2016;26334.19
01-01-2017;26340.76
01-02-2017;26336.93
01-03-2017;26442.88
01-04-2017;26512.42
01-05-2017;26603.14
01-06-2017;26651.22
01-07-2017;26643.94
01-08-2017;26584.37
01-09-2017;26631.13
01-10-2017;26656.66
01-11-2017;26662.41
01-12-2017;26779.99
01-01-2018;26811.97
01-02-2018;26864.09
01-03-2018;26961.32
01-04-2018;26980.73
01-05-2018;27040.06
01-06-2018;27119.59
01-07-2018;27187.19
01-08-2018;27237.98
01-09-2018;27329.01
01-10-2018;27393.34
01-11-2018;27480.95
01-12-2018;27561.53
01-01-2019;27558.53
01-02-2019;27546.04
01-03-2019;27564.62
01-04-2019;27601.09
01-05-2019;27720.11
01-06-2019;27826.20
01-07-2019;27946.95
01-08-2019;27968.13
01-09-2019;28021.53
01-10-2019;28063.18
01-11-2019;28122.86
01-12-2019;28288.60
01-01-2020;28324.55
01-02-2020;28387.75
01-03-2020;28539.73
01-04-2020;28648.24
01-05-2020;28713.19
01-06-2020;28709.15
01-07-2020;28681.36
01-08-2020;28667.73
01-09-2020;28694.02
01-10-2020;28760.64
01-11-2020;28933.88
01-12-2020;29075.47
